length_url,length_hostname,nb_dots,nb_hyphens,nb_eq,nb_underscore,nb_percent,nb_comma,ratio_digits_url,longest_words_raw,longest_word_host,longest_word_path,domain_in_title,domain_with_copyright,domain_registration_length,status
46,20,3,0,1,0,0,0,0.108695652,12,12,5,1,1,627,1
128,120,10,0,0,0,0,0,0.0546875,35,35,0,1,0,300,1
52,25,3,0,0,0,0,0,0,17,17,9,1,0,119,1
21,13,2,0,0,0,0,0,0.142857143,5,5,0,1,1,130,0
28,19,2,0,0,0,0,0,0,11,11,0,0,0,164,0
128,50,4,1,3,2,0,0,0.1171875,17,13,17,1,1,25,1
50,15,2,0,1,0,0,0,0,9,7,9,1,0,705,1
51,14,5,0,0,0,0,0,0,7,7,7,1,0,0,1
35,22,2,0,0,0,0,0,0,14,14,4,0,1,67,0
22,15,2,0,0,0,0,0,0,8,8,0,1,1,148,0
57,14,3,1,0,0,0,0,0,8,7,8,1,0,496,1
39,30,2,2,0,0,0,0,0,9,9,0,1,1,0,0
44,18,3,0,0,0,0,0,0,11,11,7,1,0,329,1
28,21,2,0,0,0,0,0,0.035714286,8,8,0,1,0,374,1
56,15,2,0,0,0,0,0,0.071428571,24,7,24,1,1,204,0
110,30,2,1,1,0,0,0,0.1,46,12,46,1,0,381,1
40,17,3,0,0,0,0,0,0,9,9,4,0,0,617,0
62,16,2,2,0,0,0,0,0.080645161,9,8,9,1,1,382,0
62,17,2,5,0,0,0,0,0.016129032,9,9,7,1,0,346,0
69,20,2,1,0,0,0,0,0,15,12,15,1,1,360,1
24,16,2,0,0,0,0,0,0,8,8,0,1,0,112,0
45,10,2,1,0,0,0,0,0.222222222,12,3,12,1,0,0,1
26,17,2,0,0,0,0,0,0,10,10,0,0,0,0,0
33,24,2,0,0,0,0,0,0,16,16,0,1,1,524,0
36,29,2,1,0,0,0,0,0,9,9,0,1,0,1047,0
55,18,4,1,0,1,0,0,0.109090909,8,5,8,1,1,0,0
25,16,2,0,0,0,0,0,0,9,9,0,0,0,0,0
59,20,4,0,1,0,0,0,0,12,12,7,1,0,172,0
31,23,2,0,0,0,0,0,0,12,12,0,1,1,102,1
96,7,3,0,2,0,6,0,0.114583333,22,4,22,1,0,270,1
27,19,2,0,0,0,0,0,0,12,12,0,0,1,342,0
44,17,3,0,0,0,0,0,0,9,9,9,1,1,326,0
47,18,2,0,0,0,0,0,0,10,10,7,0,0,109,0
32,24,2,0,0,0,0,0,0,11,11,0,1,1,370,0
46,17,2,1,0,0,0,0,0,11,9,11,0,0,257,0
56,18,2,0,0,1,0,0,0,12,9,12,1,1,0,0
21,12,1,0,0,0,0,0,0,7,7,0,1,0,288,1
50,15,2,2,0,0,0,0,0,9,7,9,1,0,0,0
53,35,4,0,0,0,0,0,0.264150943,18,18,5,1,1,230,1
68,59,4,7,0,0,0,0,0.088235294,7,7,0,1,0,231,1
45,21,2,0,0,0,0,0,0,13,13,8,1,0,246,0
29,21,2,1,0,0,0,0,0.068965517,8,8,0,1,1,275,1
68,18,6,0,1,0,0,0,0,7,7,5,1,0,263,1
61,24,3,0,0,0,0,0,0,16,16,8,1,0,74,1
94,20,3,0,1,1,1,0,0.074468085,23,11,23,1,0,231,1
31,22,2,0,0,0,0,0,0,9,9,0,1,1,371,0
71,11,2,1,0,0,0,0,0,9,8,9,1,0,0,1
50,15,3,0,0,0,0,0,0,12,7,12,1,1,298,0
92,22,2,1,0,0,0,0,0.141304348,32,15,32,1,1,0,1
78,17,3,4,0,0,0,0,0,11,6,11,1,1,0,0
69,20,2,0,0,0,0,0,0.391304348,40,11,40,1,0,228,1
78,69,4,2,0,0,0,0,0.115384615,36,36,0,1,0,218,1
27,18,2,0,0,0,0,0,0,11,11,0,1,1,0,0
29,18,2,0,0,0,0,0,0,10,10,2,1,0,73,1
73,16,5,0,1,0,0,0,0.123287671,9,8,9,1,0,154,1
75,18,3,0,1,0,0,0,0,14,14,8,1,0,292,1
84,13,3,4,0,2,3,0,0.333333333,9,5,9,1,1,201,0
127,50,4,1,3,2,0,0,0.149606299,17,13,17,1,1,25,1
75,17,3,0,0,0,0,0,0,12,9,12,1,0,923,0
36,7,1,1,0,0,0,0,0,7,4,7,0,0,309,0
24,15,2,0,0,0,0,0,0,7,7,0,1,0,161,0
58,16,2,0,0,4,0,0,0.017241379,9,9,8,0,0,902,0
142,34,2,2,1,3,0,0,0.028169014,17,16,17,1,0,382,1
67,21,2,4,0,0,0,0,0,11,9,11,0,0,306,0
42,19,3,0,0,0,0,0,0,8,8,5,1,0,481,1
52,16,2,0,1,0,1,0,0.115384615,12,8,12,1,0,92,1
95,12,2,7,0,0,0,0,0,10,4,10,0,0,0,0
49,24,3,0,0,0,0,0,0,16,16,12,1,0,-1,0
101,15,2,1,0,0,0,0,0.108910891,34,6,34,1,1,2976,1
81,31,2,4,0,0,0,0,0,22,22,11,1,1,182,0
132,16,3,0,1,2,0,0,0.03030303,43,6,43,1,0,271,1
30,22,2,0,0,0,0,0,0,15,15,0,1,1,0,0
31,17,1,0,0,0,0,0,0,13,13,5,1,1,15,0
46,16,2,0,0,1,0,0,0,9,9,8,0,1,905,0
78,17,1,7,0,0,0,0,0.08974359,7,7,7,1,1,138,0
21,13,2,0,0,0,0,0,0,6,6,0,0,1,116,0
52,11,3,0,0,1,0,0,0.076923077,11,5,11,1,1,366,1
74,14,4,1,1,0,4,0,0.148648649,11,6,11,0,0,1048,0
108,25,4,1,0,0,1,0,0.037037037,23,17,23,0,0,200,1
125,50,4,1,3,2,0,0,0.192,17,13,17,1,1,25,1
17,9,1,0,0,0,0,0,0,6,6,0,0,1,142,0
43,14,2,0,0,2,0,0,0,10,6,10,0,1,2021,0
18,11,1,0,0,0,0,0,0,6,6,0,0,1,0,0
60,18,4,0,0,0,0,0,0.15,10,10,7,1,1,101,0
47,27,2,0,0,0,0,0,0.085106383,14,14,8,0,0,330,1
259,13,6,0,0,0,0,0,0.181467181,200,9,200,1,0,334,1
50,16,2,0,0,3,0,0,0,6,6,6,1,1,140,0
113,15,2,3,1,1,0,0,0.053097345,19,6,19,1,1,2974,1
60,21,3,1,0,0,0,0,0,10,10,9,0,1,0,1
39,25,2,0,0,0,0,0,0,17,17,5,1,1,342,1
39,30,2,0,0,0,0,0,0,14,14,0,1,0,948,1
25,16,2,0,0,0,0,0,0,8,8,0,1,0,376,0
36,29,2,0,0,0,0,0,0.027777778,16,16,0,1,0,374,1
49,10,3,0,0,0,0,0,0,9,6,9,1,1,1283,1
45,11,2,0,0,2,0,0,0,7,6,7,1,1,335,0
63,21,2,1,0,2,0,0,0,9,9,6,1,1,182,0
31,19,2,0,0,0,0,0,0,12,12,3,1,1,0,0
26,19,2,0,0,0,0,0,0,8,8,0,1,0,1050,0
40,15,2,0,0,0,0,0,0,12,12,5,1,0,378,1
